,Spearman,MSD,SimRank_c0.8_k5
Weight(thres=0.03),38.08806,38.59387,33.38262
Bestn(n=40),34.624,30.82725,31.18457
"Combined(thres=0.03,n=40)",34.81887,30.70532,31.69077
